path,category,source,creator,licence_or_permission,ai_assisted,owner_status
"docs/release/store_media/delivery/screenshot_05_debrief.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/screenshot_06_dashboard_risk.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_app_icon_184x184.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_header_920x430.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_library_capsule_600x900.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_library_header_920x430.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_library_hero_3840x1240.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_library_logo_transparent.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_main_1232x706.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_shortcut_icon_256x256.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_small_462x174.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/steam_vertical_748x896.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/masters/stellar_legacy_key_art_no_text.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/masters/stellar_legacy_logo_transparent.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
